#class tools::wcsv::ntuple
#title Hits
#separator 44
#vector_separator 59
#column double[] Time Gamma
#column double[] Energy Gamma
#column double[] Id Gamma
#column double[] Time Neutron
#column double[] Energy Neutron
#column double[] Id Neutron
1.64705e-10,0.0146502,0,,,
1.72672e-10,0.317937,1,,,
,,,2.76474e-09,1.11987,0
1.58063e-10;3.1291e-10,0.0444718;0.029628,1;1,,,
1.95084e-10,0.0923501,0,,,
,,,3.93247e-09;4.45891e-09;5.7552e-09;8.33023e-09;1.14936e-08;1.17683e-08;1.25113e-08;1.69378e-08;3.72625e-08;3.9362e-08,0.567472;7.97604e-05;0.0227415;0.0396675;0.0964836;0.0508085;0.0108612;0.00242294;0.00107164;2.89905e-05,1;1;1;1;1;1;1;1;1;1
1.85468e-10;2.19718e-10,0.614957;0.0121144,2;2,,,
1.57973e-10;1.87514e-10;2.11701e-10,2.12349;0.26642;0.0630163,0;2;2,7.08596e-09;8.36895e-09,0.18662;0.208537,1;1
1.63515e-10;3.31611e-10;3.32873e-10;1.98064e-10,0.0971563;0.0150105;0.0320884;0.101951,1;1;1;3,3.53551e-09,0.723968,0
1.55674e-10,0.17476,0,,,
1.47127e-10;2.13147e-10;1.65576e-10;2.18981e-10,0.243282;0.0559898;0.0796073;0.0427368,1;1;1;3,,,
1.85874e-10,1.9193,1,,,
1.82902e-10,0.0236312,2,,,
,,,3.09248e-09;5.93653e-09;9.00959e-09;1.55335e-08;2.28965e-08;3.01404e-08,1.90973;0.253363;0.0340454;0.0185316;0.000274996;0.000276629,0;1;1;1;1;1
,,,2.27876e-09,0.548632,2
1.50394e-10;2.34096e-10;3.03916e-10;1.61517e-10,0.454018;3.03012e-05;0.0036477;0.266427,0;0;0;1,,,
1.83507e-10,0.0938616,2,,,
1.70467e-10;1.90539e-10;1.64051e-10;2.17738e-10,0.0213012;0.281197;0.0287302;0.000620758,0;0;1;1,,,
1.48412e-10,0.630768,1,1.84646e-09,1.25914,1
,,,2.61987e-09,1.25256,1
1.85396e-10,0.106659,3,,,
1.60544e-10,0.16892,1,,,
,,,4.92465e-09,0.276136,0
,,,4.31826e-09;8.34304e-09;1.11202e-08;1.23827e-08;1.41914e-08;1.44387e-08;3.8822e-08;4.15266e-08;3.86284e-09,0.0757093;0.27202;0.0994687;0.0025702;0.00791017;0.00644692;2.41122e-05;2.2431e-05;0.626579,1;1;1;1;1;1;1;1;2
1.57863e-10,0.244791,1,,,
1.65288e-10;1.73459e-10;2.32024e-10;1.48703e-10,0.152697;1.15323;0.00762832;0.160729,1;1;1;1,,,
,,,3.81147e-09;4.7452e-09;5.29384e-09,0.532086;0.202267;0.312673,1;1;1
1.60216e-10,0.0429894,1,,,
1.51101e-10,0.199635,0,1.62733e-09,4.21904,0
,,,1.68317e-08,0.0431586,3
1.98965e-10;2.67328e-10,0.967133;0.134454,0;0,,,
1.6807e-10,0.164062,0,6.41039e-09;4.70971e-09;5.23495e-09;7.04534e-09;2.1461e-08;2.37293e-08,0.0290689;0.488356;0.262703;0.115716;0.165663;0.00540729,0;0;2;2;3;3
1.86815e-10,0.292637,3,2.54716e-09;3.17955e-09;4.53634e-09;8.43144e-09;1.45029e-08;1.83277e-08;2.31177e-08;5.91652e-08;7.8593e-08;1.58072e-07;3.76796e-07,1.53155;0.0100688;0.103504;0.0118802;0.00468667;0.00168695;0.0012772;0.000169231;0.000154097;1.0249e-05;1.13486e-05,0;0;0;0;0;0;0;0;0;0;0
1.61826e-10,0.234697,1,3.78859e-09;5.99801e-09,0.200681;0.491739,0;0
1.64278e-10,1.00288,1,3.7103e-09;4.05476e-09;4.65333e-09;6.85056e-09;7.38714e-09;8.52737e-09,0.238996;0.122051;0.0362049;0.347298;0.0148725;0.184858,0;0;0;0;0;0
1.78236e-10;1.46459e-10,0.0838243;0.576121,0;1,1.03135e-08;1.65191e-08;1.74522e-08;2.15073e-09;2.1663e-09;3.62017e-09;6.35577e-09;6.58106e-09;6.77403e-09;2.10617e-08,0.104761;0.00597362;5.50768e-05;3.27858;0.0373509;0.351654;0.0344846;0.011349;0.00754243;0.000257267,1;1;1;2;2;2;2;2;2;2
,,,1.18202e-08;2.1021e-09,0.146421;0.724678,0;2
1.68995e-10,0.124754,0,,,
,,,4.1682e-09;6.41297e-09;6.56099e-09;7.37111e-09;7.6393e-09;1.68305e-07;1.7387e-07,1.09474;0.57985;0.217382;0.0378966;0.00261934;0.00066218;0.000813359,0;0;0;0;0;3;3
1.65269e-10;2.02329e-10;2.39765e-10;1.4824e-10,0.0296892;0.175749;0.0361944;0.309001,1;1;1;1,2.57748e-09;4.77507e-09;4.6487e-09;7.36254e-09,1.03397;0.109375;0.536726;0.0282557,0;0;0;0
,,,1.52323e-09,3.54804,1
,,,3.44039e-09,0.478727,1
,,,3.2262e-09,0.494594,1
1.49342e-10;2.84015e-10;1.88004e-10,0.0871396;0.0142981;0.548169,1;1;3,3.87979e-09;3.88184e-09,0.196622;0.0539286,0;0
1.97652e-10,0.43166,3,2.08679e-09,0.750212,0
1.56369e-10,0.0885176,0,6.08694e-09;7.25672e-09;1.28675e-08;4.21062e-08,0.679715;0.00633751;0.0044548;4.74794e-05,1;1;1;1
1.80977e-10,0.158531,0,,,
2.05509e-10;2.90942e-10,0.0906749;0.0858156,2;2,,,
1.91347e-10;1.49494e-10,0.096634;0.313423,0;1,,,
1.54649e-10,0.133406,1,2.70417e-09,0.141856,0
2.19783e-10,0.0592894,2,,,
1.74434e-10,0.326931,0,,,
1.92275e-10;1.77251e-10;2.19005e-10,0.514797;0.0152785;0.181211,1;1;1,,,
,,,2.25309e-09,0.660926,1
,,,3.80735e-09,0.52431,0
2.0989e-10;1.91886e-10,0.01972;1.49818,0;3,,,
1.49671e-10;1.92665e-10,0.0415292;0.172078,1;3,5.07184e-09;5.46e-09;6.26462e-09;1.27831e-08;1.67474e-08;1.71461e-08;2.35923e-08;2.40472e-08;2.41818e-08,0.142979;0.502756;0.0574608;0.00723518;0.0709518;0.00321431;0.000842725;0.00236975;0.000599952,1;1;1;1;1;1;1;1;1
1.49922e-10;2.84631e-10;4.07342e-10,0.513531;0.135697;0.0149763,1;1;1,9.85233e-09,0.121657,1
,,,2.40544e-09;2.91599e-09;4.16954e-09;5.11688e-09;5.17947e-09,2.64573;0.0186243;0.223744;0.0270116;0.00108481,0;0;0;0;0
1.54976e-10,0.00224818,0,,,
,,,1.71283e-09;2.38156e-09;3.43487e-09;7.75199e-09,2.8297;0.938673;0.0344406;0.0727207,0;0;0;0
,,,3.98987e-09,0.658385,1
1.51455e-10,0.34499,0,2.66454e-09;4.00028e-09,2.59597;0.470282,0;0
,,,2.22486e-09,1.27973,0
,,,3.14436e-09;5.74255e-09;7.00988e-09;1.4734e-08;2.52256e-08,0.388827;0.544665;0.00457339;0.00119033;0.000648958,1;1;1;1;1
1.57239e-10,0.0555571,1,,,
,,,2.74777e-09,1.88553,2
2.18647e-10,0.0981722,3,,,
1.70854e-10;5.7379e-10;1.88534e-10;2.84485e-10;3.09153e-10;3.29402e-10,0.0807709;0.0155215;0.137057;0.0411845;0.0104469;0.0265843,0;1;2;2;2;2,6.96077e-09;2.34729e-09;2.45431e-09,0.298614;0.12803;0.284919,0;1;1
,,,2.58549e-09;3.33995e-09,0.81186;0.459241,2;2
1.59624e-10,0.110936,0,,,
2.07778e-10;2.23042e-10,1.91934;0.0536617,1;1,,,
,,,4.31488e-09;5.65287e-09;6.22191e-09;9.49695e-09,0.357604;0.265144;0.000629585;0.00104298,1;1;1;1
1.68359e-10,0.80818,1,,,
1.6419e-10,0.171856,1,,,
1.84215e-10;1.85673e-10,1.14274;0.0817465,0;1,2.11231e-08;2.25268e-08;2.49425e-08;3.84357e-08;5.49219e-08;7.35757e-08;7.90386e-08;1.25155e-07,0.0339193;0.00765054;0.00079483;0.000264155;0.000244054;0.000515011;0.000215958;6.42055e-05,3;3;3;3;3;3;3;3
1.65083e-10,0.331552,1,,,
1.57586e-10;3.33647e-10,0.127586;0.00406542,0;0,,,
,,,1.1358e-08;1.36186e-08;4.41573e-09,0.0470273;0.298239;0.280336,2;2;3
1.92589e-10;1.50717e-10;1.61375e-10;1.66104e-10,0.048517;0.368691;0.13714;0.087196,0;0;1;1,3.2663e-09;5.28551e-09,1.05251;0.55213,1;1
,,,1.59196e-09,0.906019,0
1.50807e-10,0.0177854,1,,,
1.81977e-10;1.90427e-10;1.87018e-10,0.839369;1.48214;0.425326,1;2;2,2.03855e-09;2.13947e-09,0.347783;1.54983,0;0
1.84592e-10;1.98965e-10,0.411734;0.066588,0;0,,,
1.52012e-10,0.00175409,1,2.62439e-09,1.01634,3
1.54358e-10;3.10549e-10,0.0210783;0.019841,0;0,,,
,,,2.15048e-09;2.97814e-09;4.5234e-09;6.51346e-09;1.00591e-08;1.06203e-08;1.3223e-08;1.68231e-08;2.04898e-08;3.25824e-09,2.49792;0.209357;0.0556427;0.00917977;0.00541459;0.000744506;0.00269873;0.00091719;0.000436305;1.07334,0;0;0;0;0;0;0;0;0;0
1.82875e-10,0.0327008,0,,,
